#Letra	Cantidad	Puntos
A	96572		1
B	12874		9
C	37858		7
D	25903		8
E	65758		4
F	7424		10
G	11636		9
H	7040		10
I	57792		5
J	4368		10
K	133		10
L	33295		7
M	21826		8
N	42593		6
O	67007		4
P	16226		9
Q	2697		10
R	63216		4
S	28407		8
T	36804		7
U	21322		8
V	6373		10
W	36		10
X	1159		10
Y	1119		10
Z	5447		10
